"","ID","site","target_name","sample_name","Ct_mean","Ct_sd","quantity_mean","quantity_sd","run","Date_collected","ID","species","host_plant","date_processed","pollen","dil.factor","apiary_near_far","genome_copbee","ACT_genome_copbee","norm_genome_copbee","norm_genome_copbeeHB","Ct_mean_hb","HBCollected","virusBINY_PreFilter","virusBINY","HB_Abun","HBSiteBin","ShannonDIV","SimpsonDIV","FisherDIV","Density","Name","Migratory","City","SBPV_PA","SBPV_CPB","ABPV_PA","ABPV_CPB","IAPV_PA","IAPV_CPB","DWV_PA","DWV_CPB","LSV.2_PA","LSV.2_CPB","CBPV_PA","CBPV_CPB","KBV_PA","KBV_CPB","VarroaTHR_PA","Varroa100","NosemaPA","NosemaCount","Apiary_name","lat","long","elevation","town","apiaryNotes","apiary","siteNotes","sumApiaries","sumColonies"
"535",442,"MART","BQCV",216,23.391,NA,2072.838,NA,51,"7/15/15","MART36","Bimaculatus","Vicia cracca","3/21/16",1,6.3535,1,13169776.23,864981183.1,21395437.68,9560345.413,20.983,1,1,1,0.885714286,NA,0.839665076,0.476270957,0.963306236,17.2,"Palmer",0,"St_Albans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,"Martin",44.736855,-73.086848,127,"St. Albans City","25","Y"," ",3,26
"538",8,"BOST-NEAR","BQCV",217,29.258,0.383,41.628,10.552,51,"6/25/15","BOSTN32","Bimaculatus","Trifolium pratense","3/21/16",1,11.447,1,476515.716,1371111358,488375.5793,366994726.8,19.549,1,1,1,0.285714286,NA,1.618767143,0.741409554,1.852016667,40.8,"Mraz",0,"Middlebury",0,0,0,0,0,0,1,2.85e+11,1,3.94e+09,1,415000,0,0,1,2.82,0,5,"Bostwick",44.369755,-73.242064,55,"Shelburne","Chas","Y"," ",9,45
"541",448,"MART","BQCV",218,23.723,0.069,1660.504,76.124,51,"7/15/15","MART30","Bimaculatus","Vicia cracca","3/21/16",1,7.1065,1,11800371.68,910828237.1,18205752.72,9560345.413,20.983,1,1,1,0.885714286,NA,0.839665076,0.476270957,0.963306236,17.2,"Palmer",0,"St_Albans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,"Martin",44.736855,-73.086848,127,"St. Albans City","25","Y"," ",3,26
"547",833,"ROCK","BQCV",220,29.863,0.016,27.322,0.301,51,"7/27/15","ROCK57","Bimaculatus","Trifolium pratense","3/21/16",0,10.5455,0,288124.151,895505985.4,452127.173,100740782,19.315,1,1,1,0.178571429,NA,0.754972646,0.470509418,0.502122168,19.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.849911,-72.942441,117,"Fairfield"," ","N","Red Clover field, collected with Caitlin and Alex",1,7
"550",487,"MART","BQCV",221,21.316,0.218,8349.739,1215.467,51,"7/15/15","MART33","Bimaculatus","Vicia cracca","3/21/16",1,10.6995,1,89338032.43,5590886771,22454589.79,9560345.413,20.983,1,1,1,0.885714286,NA,0.839665076,0.476270957,0.963306236,17.2,"Palmer",0,"St_Albans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,"Martin",44.736855,-73.086848,127,"St. Albans City","25","Y"," ",3,26
"553",29,"BOST-NEAR","BQCV",222,27.81,0.144,108.068,10.365,51,"6/25/15","BOSTN38","Bimaculatus","Trifolium pratense","3/21/16",0,11.6875,1,1263044.75,2376554015,746827.8201,366994726.8,19.549,1,1,1,0.285714286,NA,1.618767143,0.741409554,1.852016667,40.8,"Mraz",0,"Middlebury",0,0,0,0,0,0,1,2.85e+11,1,3.94e+09,1,415000,0,0,1,2.82,0,5,"Bostwick",44.369755,-73.242064,55,"Shelburne","Chas","Y"," ",9,45
"556",790,"ROCK","BQCV",223,29.799,0.725,30.201,14.102,52,"7/27/15","ROCK54","Bimaculatus","Trifolium pratense","3/21/16",1,9.161,0,276671.361,1152901315,337226.357,100740782,19.315,1,1,1,0.178571429,NA,0.754972646,0.470509418,0.502122168,19.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.849911,-72.942441,117,"Fairfield"," ","N","Red Clover field, collected with Caitlin and Alex",1,7
"559",491,"MART","BQCV",224,32.28,1.074,6.139,4.068,52,"7/15/15","MART37","Bimaculatus","Vicia cracca","3/21/16",0,9.0425,1,55511.9075,2487222093,31363.24735,9560345.413,20.983,1,1,1,0.885714286,NA,0.839665076,0.476270957,0.963306236,17.2,"Palmer",0,"St_Albans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,"Martin",44.736855,-73.086848,127,"St. Albans City","25","Y"," ",3,26
"562",13,"BOST-NEAR","BQCV",225,26.055,0.118,349.347,27.44,52,"6/25/15","BOSTN23","Bimaculatus","Trifolium pratense","3/21/16",0,9.8955,1,3456963.239,1852727241,2622000.156,366994726.8,19.549,1,1,1,0.285714286,NA,1.618767143,0.741409554,1.852016667,40.8,"Mraz",0,"Middlebury",0,0,0,0,0,0,1,2.85e+11,1,3.94e+09,1,415000,0,0,1,2.82,0,5,"Bostwick",44.369755,-73.242064,55,"Shelburne","Chas","Y"," ",9,45
"565",489,"MART","BQCV",226,22.488,0.019,3792.192,49.319,52,"7/15/15","MART29","Bimaculatus","Vicia cracca","3/21/16",0,5.552,1,21054249.98,843483769.1,35076195.67,9560345.413,20.983,1,1,1,0.885714286,NA,0.839665076,0.476270957,0.963306236,17.2,"Palmer",0,"St_Albans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,"Martin",44.736855,-73.086848,127,"St. Albans City","25","Y"," ",3,26
"571",826,"ROCK","BQCV",228,28.885,0.047,52.559,1.637,52,"7/27/15","ROCK53","Bimaculatus","Trifolium pratense","3/21/16",1,7.8555,0,412877.2245,286465324.5,2025341.706,100740782,19.315,1,1,1,0.178571429,NA,0.754972646,0.470509418,0.502122168,19.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.849911,-72.942441,117,"Fairfield"," ","N","Red Clover field, collected with Caitlin and Alex",1,7
"577",470,"MART","BQCV",230,24.968,0.242,726.547,116.967,52,"7/15/15","MART18","Bimaculatus","Vicia cracca","3/21/16",0,7.795,1,5663433.865,1056775555,7530893.631,9560345.413,20.983,1,1,1,0.885714286,NA,0.839665076,0.476270957,0.963306236,17.2,"Palmer",0,"St_Albans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,"Martin",44.736855,-73.086848,127,"St. Albans City","25","Y"," ",3,26
"583",799,"ROCK","BQCV",232,30.535,0.197,17.5,2.3,52,"7/27/15","ROCK55","Bimaculatus","Trifolium pratense","3/23/16",0,8.7595,0,153291.25,444823658.9,484260.3668,100740782,19.315,1,1,1,0.178571429,NA,0.754972646,0.470509418,0.502122168,19.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.849911,-72.942441,117,"Fairfield"," ","N","Red Clover field, collected with Caitlin and Alex",1,7
"586",479,"MART","BQCV",233,31.108,0.816,12.771,6.646,52,"7/15/15","MART21","Bimaculatus","Vicia cracca","3/23/16",1,10.2015,1,130283.3565,2490762535,73503.16725,9560345.413,20.983,1,1,1,0.885714286,NA,0.839665076,0.476270957,0.963306236,17.2,"Palmer",0,"St_Albans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,"Martin",44.736855,-73.086848,127,"St. Albans City","25","Y"," ",3,26
"592",494,"MART","BQCV",235,27.851,0.11,105.064,7.725,53,"7/15/15","MART38","Bimaculatus","Vicia cracca","3/23/16",1,7.4395,1,781623.628,368148716.4,2983484.788,9560345.413,20.983,1,1,1,0.885714286,NA,0.839665076,0.476270957,0.963306236,17.2,"Palmer",0,"St_Albans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,"Martin",44.736855,-73.086848,127,"St. Albans City","25","Y"," ",3,26
"595",492,"MART","BQCV",236,29.373,0.404,38.612,10.309,53,"7/15/15","MART39","Bimaculatus","Vicia cracca","3/23/16",1,1.749,1,67532.388,25385694.35,3738285.785,9560345.413,20.983,1,1,1,0.885714286,NA,0.839665076,0.476270957,0.963306236,17.2,"Palmer",0,"St_Albans",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,"Martin",44.736855,-73.086848,127,"St. Albans City","25","Y"," ",3,26
"598",371,"HOGB","BQCV",237,31.893,0.367,7.129,1.733,53,"7/28/15","HOGB7","Bimaculatus","Trifolium pratense","3/23/16",1,14.0875,0,100429.7875,4394734810,32112.8839,2588929.379,24.683,1,1,1,0.042553191,NA,0.309520428,0.134865348,0.555870897,74.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.682381,-72.773484,143,"Cambridge","sans hb","N","house with succulents-red clover field, red barn",0,0
"607",396,"HOGB","BQCV",240,28.216,0.14,82.404,7.731,53,"7/28/15","HOGB36","Bimaculatus","Trifolium pratense","3/23/16",0,7.1955,0,592937.982,740926823.1,1124561.97,2588929.379,24.683,1,1,1,0.042553191,NA,0.309520428,0.134865348,0.555870897,74.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.682381,-72.773484,143,"Cambridge","sans hb","N","house with succulents-red clover field, red barn",0,0
"613",957,"SWAN","BQCV",242,29.773,0.16,29.094,3.105,53,"7/29/15","SWAN5","Bimaculatus","Trifolium pratense","3/28/16",1,7.957,0,231500.958,294656351.3,1104044.109,9359114.06,21.906,1,1,1,0.071428571,NA,0,0,0.146297324,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.931132,-73.091239,72,"Highgate","sans hb","N","on airport property, interviewed with newspaper",4,30
"616",190,"COL","BQCV",243,28.923,0.162,51.361,5.559,53,"7/16/15","COL51","Bimaculatus","Trifolium repens","3/28/16",0,6.9615,0,357549.6015,295835834.4,1698380.359,992531886.8,14.196,1,1,1,0.166666667,NA,0.691761499,0.498614958,0.449557505,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.550141,-73.12475,124,"Colchester","sans hb","N","colchester pond, found vagans nest",3,3
"622",953,"SWAN","BQCV",245,25.408,0.021,537.827,7.478,54,"7/29/15","SWAN33","Bimaculatus","Trifolium pratense","3/28/16",1,11.684,0,6283970.668,1956999312,4512247.524,9359114.06,21.906,1,1,1,0.071428571,NA,0,0,0.146297324,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.931132,-73.091239,72,"Highgate","sans hb","N","on airport property, interviewed with newspaper",4,30
"625",879,"SAND","BQCV",246,23.558,0.022,1853.467,27.805,54,"7/19/15","SAND4","Bimaculatus","Trifolium pratense","3/28/16",1,9.989,0,18514281.86,803681616.7,32372204.54,13878919.47,22.377,1,1,1,0.111111111,NA,0.889762767,0.544159847,0.586609286,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.654202,-73.16209,98,"Milton","Sans hb","N","field across from house of guy asking about Heinrich, lightning storm",2,4
"628",848,"SAND","BQCV",247,22.215,0.296,4596.233,905.363,54,"7/19/15","SAND10","Bimaculatus","Trifolium pratense","3/28/16",0,9.237,0,42455404.22,608745863.2,98004585.51,13878919.47,22.377,1,1,1,0.111111111,NA,0.889762767,0.544159847,0.586609286,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.654202,-73.16209,98,"Milton","Sans hb","N","field across from house of guy asking about Heinrich, lightning storm",2,4
"637",748,"RICE","BQCV",250,26.117,0.366,339.723,82.31,54,"7/23/15","RICE14","Bimaculatus","Vicia cracca","3/28/16",0,5.7735,0,1961390.741,914466108.4,3014018.719,2760299554,14.187,1,1,1,0,NA,0.786189313,0.371219282,1.134292744,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.925435,-72.969001,121,"Sheldon","sans hb","N","field across from shot gun city",2,17
"640",878,"SAND","BQCV",251,23.3,0.224,2215.286,330.795,54,"7/19/15","SAND13","Bimaculatus","Trifolium pratense","3/30/16",1,6.244,0,13832245.78,450490551,43147580.75,13878919.47,22.377,1,1,1,0.111111111,NA,0.889762767,0.544159847,0.586609286,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.654202,-73.16209,98,"Milton","Sans hb","N","field across from house of guy asking about Heinrich, lightning storm",2,4
"643",952,"SWAN","BQCV",252,26.539,0.344,255.819,58.419,54,"7/29/15","SWAN13","Bimaculatus","Trifolium pratense","3/30/16",0,9.204,0,2354558.076,619437612.5,5341475.905,9359114.06,21.906,1,1,1,0.071428571,NA,0,0,0.146297324,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.931132,-73.091239,72,"Highgate","sans hb","N","on airport property, interviewed with newspaper",4,30
"646",886,"SAND","BQCV",253,26.584,0.046,244.914,7.573,54,"7/19/15","SAND25","Bimaculatus","Trifolium pratense","3/30/16",1,8.5745,0,2100015.093,906682635.4,3254741.915,13878919.47,22.377,1,1,1,0.111111111,NA,0.889762767,0.544159847,0.586609286,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.654202,-73.16209,98,"Milton","Sans hb","N","field across from house of guy asking about Heinrich, lightning storm",2,4
"649",951,"SWAN","BQCV",254,23.969,0.108,1410.525,101.919,54,"7/29/15","SWAN35","Bimaculatus","Trifolium pratense","3/30/16",0,5.8005,0,8181750.263,819919642.6,14022465.08,9359114.06,21.906,1,1,1,0.071428571,NA,0,0,0.146297324,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.931132,-73.091239,72,"Highgate","sans hb","N","on airport property, interviewed with newspaper",4,30
"652",714,"RICE","BQCV",255,25.02,0.146,698.916,68.004,54,"7/23/15","RICE28","Bimaculatus","Vicia cracca","3/30/16",0,9.719,0,6792764.604,932157454,10240159.64,2760299554,14.187,1,1,1,0,NA,0.786189313,0.371219282,1.134292744,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.925435,-72.969001,121,"Sheldon","sans hb","N","field across from shot gun city",2,17
"658",782,"RICE","BQCV",257,24.684,0.112,874.154,65.433,55,"7/23/15","RICE7","Bimaculatus","Vicia cracca","3/30/16",1,5.8475,0,5111615.515,1454715555,4937754.984,2760299554,14.187,1,1,1,0,NA,0.786189313,0.371219282,1.134292744,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.925435,-72.969001,121,"Sheldon","sans hb","N","field across from shot gun city",2,17
"661",783,"RICE","BQCV",258,24.213,0.176,1200.071,140.94,55,"7/23/15","RICE16","Bimaculatus","Vicia cracca","3/30/16",1,8.2055,0,9847182.591,1189177739,11636293.3,2760299554,14.187,1,1,1,0,NA,0.786189313,0.371219282,1.134292744,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.925435,-72.969001,121,"Sheldon","sans hb","N","field across from shot gun city",2,17
"664",973,"SWAN","BQCV",259,26.111,0.099,336.349,22.328,55,"7/29/15","SWAN6","Bimaculatus","Trifolium pratense","3/30/16",0,11.212,0,3771144.988,2794794161,1896150.66,9359114.06,21.906,1,1,1,0.071428571,NA,0,0,0.146297324,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.931132,-73.091239,72,"Highgate","sans hb","N","on airport property, interviewed with newspaper",4,30
"667",880,"SAND","BQCV",260,22.011,0.036,5219.493,124.026,55,"7/19/15","SAND2","Bimaculatus","Trifolium pratense","3/30/16",1,10.997,0,57398764.52,2405036312,33537473.74,13878919.47,22.377,1,1,1,0.111111111,NA,0.889762767,0.544159847,0.586609286,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.654202,-73.16209,98,"Milton","Sans hb","N","field across from house of guy asking about Heinrich, lightning storm",2,4
"670",851,"SAND","BQCV",261,25.719,0.05,436.875,14.519,55,"7/19/15","SAND32","Bimaculatus","Trifolium pratense","4/4/16",1,10.768,0,4704270,1487288436,4444741.191,13878919.47,22.377,1,1,1,0.111111111,NA,0.889762767,0.544159847,0.586609286,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.654202,-73.16209,98,"Milton","Sans hb","N","field across from house of guy asking about Heinrich, lightning storm",2,4
"673",881,"SAND","BQCV",262,26.932,0.039,194.037,5.066,55,"7/19/15","SAND11","Bimaculatus","Trifolium pratense","4/4/16",1,5.053,0,980468.961,378822753.1,3637032.925,13878919.47,22.377,1,1,1,0.111111111,NA,0.889762767,0.544159847,0.586609286,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.654202,-73.16209,98,"Milton","Sans hb","N","field across from house of guy asking about Heinrich, lightning storm",2,4
"676",754,"RICE","BQCV",263,23.163,0.027,2414.924,44.053,55,"7/23/15","RICE3","Bimaculatus","Vicia cracca","4/4/16",0,10.591,0,25576460.08,1203734509,29857893.43,2760299554,14.187,1,1,1,0,NA,0.786189313,0.371219282,1.134292744,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.925435,-72.969001,121,"Sheldon","sans hb","N","field across from shot gun city",2,17
"688",883,"SAND","BQCV",267,22.094,1.02,5522.846,3501.138,62,"7/19/15","SAND5","Bimaculatus","Trifolium pratense","4/4/16",1,9.426,0,52058346.4,3028322880,24156701.35,13878919.47,22.377,1,1,1,0.111111111,NA,0.889762767,0.544159847,0.586609286,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.654202,-73.16209,98,"Milton","Sans hb","N","field across from house of guy asking about Heinrich, lightning storm",2,4
"691",948,"SWAN","BQCV",268,29.625,0.259,32.279,5.556,62,"7/29/15","SWAN7","Bimaculatus","Trifolium pratense","4/4/16",1,7.5335,0,243173.8465,882409703.2,387254.1035,9359114.06,21.906,1,1,1,0.071428571,NA,0,0,0.146297324,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.931132,-73.091239,72,"Highgate","sans hb","N","on airport property, interviewed with newspaper",4,30
"694",920,"SWAN","BQCV",269,25.475,0.535,530.994,186.213,62,"7/29/15","SWAN12","Bimaculatus","Trifolium pratense","4/4/16",0,9.6395,0,5118516.663,2366670954,3039174.802,9359114.06,21.906,1,1,1,0.071428571,NA,0,0,0.146297324,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.931132,-73.091239,72,"Highgate","sans hb","N","on airport property, interviewed with newspaper",4,30
"697",755,"RICE","BQCV",270,30.513,2.315,29.397,33.204,62,"7/23/15","RICE33","Bimaculatus","Vicia cracca","4/4/16",1,10.733,0,315518.001,2888273483,153509.5037,2760299554,14.187,1,1,1,0,NA,0.786189313,0.371219282,1.134292744,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.925435,-72.969001,121,"Sheldon","sans hb","N","field across from shot gun city",2,17
"700",950,"SWAN","BQCV",271,30.622,0.15,16.478,1.645,62,"7/29/15","SWAN9","Bimaculatus","Trifolium pratense","4/6/16",0,7.0415,0,116029.837,605887022.3,269108.5343,9359114.06,21.906,1,1,1,0.071428571,NA,0,0,0.146297324,13.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.931132,-73.091239,72,"Highgate","sans hb","N","on airport property, interviewed with newspaper",4,30
"703",743,"RICE","BQCV",272,28.816,1.07,62.208,41.076,62,"7/23/15","RICE11","Bimaculatus","Vicia cracca","4/6/16",1,7.022,0,436824.576,463365489,1324746.614,2760299554,14.187,1,1,1,0,NA,0.786189313,0.371219282,1.134292744,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.925435,-72.969001,121,"Sheldon","sans hb","N","field across from shot gun city",2,17
"706",749,"RICE","BQCV",273,26.557,0.319,252.183,53.428,62,"7/23/15","RICE32","Bimaculatus","Vicia cracca","4/6/16",1,7.2615,0,1831226.855,1668000026,1542749.927,2760299554,14.187,1,1,1,0,NA,0.786189313,0.371219282,1.134292744,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.925435,-72.969001,121,"Sheldon","sans hb","N","field across from shot gun city",2,17
"715",850,"SAND","BQCV",276,27.672,0.882,128.694,71.845,62,"7/22/15","SAND41","Bimaculatus","Trifolium pratense","4/6/16",0,8.4555,0,1088172.117,2183556606,700297.5024,13878919.47,22.377,1,1,1,0.111111111,NA,0.889762767,0.544159847,0.586609286,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.654202,-73.16209,98,"Milton","Sans hb","N","field across from house of guy asking about Heinrich, lightning storm",2,4
"718",895,"SAND","BQCV",277,26.266,NA,302.946,NA,62,"7/19/15","SAND3","Bimaculatus","Trifolium pratense","4/6/16",1,8.283,0,2509301.718,2750078920,1282204.114,13878919.47,22.377,1,1,1,0.111111111,NA,0.889762767,0.544159847,0.586609286,9.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.654202,-73.16209,98,"Milton","Sans hb","N","field across from house of guy asking about Heinrich, lightning storm",2,4
"723",741,"RICE","BQCV",279,28.035,0.315,93.844,19.627,57,"7/23/15","RICE31","Bimaculatus","Vicia cracca","4/6/16",0,12.6195,0,1184264.358,1921452137,866100.9742,2760299554,14.187,1,1,1,0,NA,0.786189313,0.371219282,1.134292744,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.925435,-72.969001,121,"Sheldon","sans hb","N","field across from shot gun city",2,17
"741",668,"ONE","BQCV",285,25.572,0.003,481.936,0.823,57,"7/10/15","ONE32","Bimaculatus","Hypericum perforatum","4/18/16",1,8.733,1,4208747.088,1922985990,3075573.765,47746762.25,20.013,1,1,1,0.25,NA,1.490339588,0.716195394,1.739585803,54.4,"Drutchas",0,"Worcester",0,0,0,0,0,0,1,5.68e+09,0,0,0,0,0,0,0,2.9,0,0,"Oneil",44.336968,-73.150093,109,"Hinesburg","16, Rick Drutchas","Y"," ",6,52
"747",653,"ONE","BQCV",287,24.743,0.123,840.418,69.146,57,"7/10/15","ONE27","Bimaculatus","Hypericum perforatum","4/18/16",1,9.958,1,8368882.444,1192247441,9863941.947,47746762.25,20.013,1,1,1,0.25,NA,1.490339588,0.716195394,1.739585803,54.4,"Drutchas",0,"Worcester",0,0,0,0,0,0,1,5.68e+09,0,0,0,0,0,0,0,2.9,0,0,"Oneil",44.336968,-73.150093,109,"Hinesburg","16, Rick Drutchas","Y"," ",6,52
