ID,Target tested
47,BQCV
50,BQCV
51,BQCV
70,BQCV
76,BQCV
78,BQCV
88,BQCV
103,BQCV
120,BQCV
124,BQCV
125,BQCV
149,BQCV
165,BQCV
167,BQCV
170,BQCV
173,BQCV
180,BQCV
196,BQCV
199,BQCV
200,BQCV
201,BQCV
202,BQCV
204,BQCV
205,BQCV
206,BQCV
207,BQCV
208,BQCV
209,BQCV
210,BQCV
211,BQCV
212,BQCV
214,BQCV
217,BQCV
219,BQCV
222,BQCV
225,BQCV
231,BQCV
237,BQCV
240,BQCV
241,BQCV
242,BQCV
243,BQCV
244,BQCV
245,BQCV
246,BQCV
247,BQCV
248,BQCV
250,BQCV
251,BQCV
252,BQCV
253,BQCV
254,BQCV
255,BQCV
256,BQCV
257,BQCV
258,BQCV
259,BQCV
260,BQCV
261,BQCV
262,BQCV
263,BQCV
264,BQCV
266,BQCV
267,BQCV
268,BQCV
269,BQCV
270,BQCV
271,BQCV
272,BQCV
273,BQCV
275,BQCV
276,BQCV
277,BQCV
278,BQCV
279,BQCV
281,BQCV
283,BQCV
284,BQCV
285,BQCV
287,BQCV
288,BQCV
289,BQCV
290,BQCV
293,BQCV
294,BQCV
295,BQCV
296,BQCV
297,BQCV
298,BQCV
299,BQCV
300,BQCV
301,BQCV
303,BQCV
305,BQCV
306,BQCV
308,BQCV
309,BQCV
310,BQCV
311,BQCV
313,BQCV
314,BQCV
317,BQCV
318,BQCV
319,BQCV
320,BQCV
321,BQCV
323,BQCV
325,BQCV
326,BQCV
327,BQCV
329,BQCV
330,BQCV
332,BQCV
333,BQCV
334,BQCV
335,BQCV
336,BQCV
337,BQCV
338,BQCV
339,BQCV
340,BQCV
341,BQCV
342,BQCV
343,BQCV
344,BQCV
345,BQCV
346,BQCV
347,BQCV
348,BQCV
348,BQCV
349,BQCV
350,BQCV
351,BQCV
352,BQCV
353,BQCV
354,BQCV
354,BQCV
355,BQCV
356,BQCV
357,BQCV
358,BQCV
359,BQCV
360,BQCV
361,BQCV
362,BQCV
363,BQCV
365,BQCV
366,BQCV
367,BQCV
368,BQCV
369,BQCV
370,BQCV
372,BQCV
374,BQCV
375,BQCV
376,BQCV
378,BQCV
380,BQCV
381,BQCV
383,BQCV
31,BQCV
35,BQCV
36,BQCV
37,BQCV
38,BQCV
39,BQCV
43,BQCV
44,BQCV
52,BQCV
53,BQCV
54,BQCV
55,BQCV
57,BQCV
63,BQCV
64,BQCV
65,BQCV
69,BQCV
71,BQCV
72,BQCV
73,BQCV
74,BQCV
75,BQCV
83,BQCV
84,BQCV
86,BQCV
89,BQCV
90,BQCV
91,BQCV
92,BQCV
93,BQCV
94,BQCV
103,BQCV
104,BQCV
105,BQCV
106,BQCV
107,BQCV
108,BQCV
109,BQCV
110,BQCV
112,BQCV
119,BQCV
122,BQCV
127,BQCV
128,BQCV
129,BQCV
130,BQCV
132,BQCV
133,BQCV
134,BQCV
136,BQCV
137,BQCV
138,BQCV
85,BQCV
139,BQCV
140,BQCV
141,BQCV
142,BQCV
145,BQCV
146,BQCV
147,BQCV
148,BQCV
150,BQCV
151,BQCV
152,BQCV
153,BQCV
155,BQCV
156,BQCV
158,BQCV
162,BQCV
164,BQCV
178,BQCV
182,BQCV
183,BQCV
184,BQCV
185,BQCV
186,BQCV
187,BQCV
194,BQCV
195,BQCV
126,BQCV
216,BQCV
218,BQCV
220,BQCV
221,BQCV
223,BQCV
224,BQCV
226,BQCV
227,BQCV
228,BQCV
230,BQCV
232,BQCV
233,BQCV
235,BQCV
236,BQCV
67,BQCV
95,BQCV
229,BQCV
87,BQCV
377,BQCV